pfaf_id,FID,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score,Resilience_Index, NormalizedLackofResilience ,FID_x,FID_y,Alert_level,Days_until_peak,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_Score,PeakArrivalScore,TwoYScore,FiveYScore,TwtyYScore,Sum_Score_x,GFMS_TotalArea_km,GFMS_perc_Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration,GFMS_area_score,GFMS_perc_area_score,MeanD_Score,MaxD_Score,Duration_Score,Sum_Score_y,MOM_Score,Hazard_Score,Scaled_Riverine_Risk,Scaled_Coastal_Risk,Flag,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area,DFO_area_1day_score,DFO_percarea_1day_score,DFO_area_2day_score,DFO_percarea_2day_score,DFO_area_3day_score,DFO_percarea_3day_score,DFOTotal_Score,onedayFlood_Area_km,onedayperc_Area,fivedayFlood_Area_km,fivedayperc_Area,VIIRS_area_1day_score,VIIRS_percarea_1day_score,VIIRS_area_5day_score,VIIRS_percarea_5day_score,VIIRSTotal_Score,Totalpop,VIIRS_impactpop,VIIRS_impactpop_percent,Severity,Alert
111011,0.0,1894.935871,EGY,Egypt,As Suways,4.180674079,0.0,0.55,0.63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.426913750126477,83.61348158,0.0,,3.25,0.172,3.188,0.168,1.125,0.059,1.125,0.059,0.03188,0.168,0.016875,0.0885,0.028125,0.1475,0.48088,6.328125,0.3339492958737617,17.4375,0.92021583751881,0.094921875,0.5009239438106425,0.6103125,3.220755431315835,4.426913750126477,326082,,,0.0953084607019144,Information
111013,2.0,895.121761,EGY,Egypt,As Suways,4.008111796,0.0,0.55,0.63,2.0,,,,,,,,,,,,,,,,,,,,,,,,,21.6180172437194,80.16223592,0.0,,6.938,0.775,6.938,0.775,2.0,0.223,1.812,0.202,0.06938,0.775,0.03,0.3345,0.0453,0.505,1.7591800000000002,23.90625,2.6707260442852707,40.5,4.524524122083282,0.35859375,4.006089066427906,1.4175,15.835834427291486,21.6180172437194,8152,,,0.5342428241881475,Advisory
111015,4.0,16672.32333,EGY,Egypt,Al Bahr al Ahmar,4.159506062,1.332958752,0.55,0.63,4.0,,,,,,,,,,,,,,,,,,,,,,,,,23.37115106850425,83.19012124,26.65917504,3.0,41.188,0.247,36.25,0.217,12.375,0.074,12.125,0.073,0.3625,0.217,0.185625,0.1109999999999999,0.303125,0.1825,1.3617500000000002,134.578125,0.8071947881728424,359.71875,2.157580217498569,2.018671875,1.2107921822592635,12.59015625,7.551530761244992,23.37115106850425,292552,90032.0,30.77,0.6291245799672309,Watch
111017,6.0,8665.540548,EGY,Egypt,Al Bahr al Ahmar,4.007958344,0.0,0.55,0.63,6.0,,,,,,,,,,,,,,,,,,,,,,,,,5.502282069667589,80.15916688000001,0.0,,22.875,0.264,19.75,0.228,6.25,0.072,6.875,0.079,0.1975,0.228,0.09375,0.1079999999999999,0.171875,0.1975,0.996625,20.671875,0.2385526313603829,64.125,0.7399999993220042,0.310078125,0.3578289470405743,2.244375,2.589999997627015,5.502282069667589,50483,,,0.0998197767425665,Information
111019,8.0,6579.747718,EGY,Egypt,Al Bahr al Ahmar,4.101170927,0.0,0.55,0.63,8.0,,,,,,,,,,,,,,,,,,,,,,,,,6.188705281875537,82.02341854,0.0,,13.812,0.21,11.188,0.17,4.438,0.067,4.938,0.075,0.11188,0.17,0.06657,0.1005,0.1234499999999999,0.1875,0.7599,0.984375,0.0149606799874771,69.75,1.060071039112663,0.014765625,0.0224410199812156,2.44125,3.710248636894321,6.188705281875537,1847,,,0.1431340879178602,Information
158650,2805.0,28654.40401,EGY,Egypt,Matrouh,0.010599425,0.0,0.55,0.63,2805.0,,,,,,,,,,,,,,,,,,,,,,,,,3.493348072290278,0.2119885,0.0,,17.438,0.061,17.375,0.061,8.625,0.03,8.062,0.028,0.17375,0.061,0.129375,0.045,0.2015499999999999,0.07,0.6806749999999999,34.171875,0.1192552285862273,59.34375,0.2071016726888392,0.512578125,0.1788828428793409,2.07703125,0.7248558544109371,3.493348072290278,28546,,,0.0004008785789371,Information
158902,2828.0,16477.27504,EGY,Egypt,Matrouh,0.048308268,0.0,0.55,0.63,2828.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0054821133265497,0.96616536,0.0,,54.25,0.329,16.625,0.101,0.0,0.0,0.0,0.0,0.16625,0.101,0.0,0.0,0.0,0.0,0.26725,10.6875,0.0648620598454285,31.078125,0.1886120424452592,0.1603125,0.0972930897681427,1.087734375,0.6601421485584071,2.0054821133265497,0,,,4.818043101860189e-05,Information
171000,3130.0,16410.89801,EGY,Egypt,Al Buhayrah,4.000368882,3.233220159,0.55,0.63,3130.0,3130.0,,,,,,,,,,,0.0,206.4665263929212,1.2581062063271202,1898.1973,2170.4854,1413.0,0.2064665263929211,0.251621241265424,10.0,10.0,10.0,60.91617553531669,60.91617553531669,60.91617553531669,80.00737764,64.66440318,,386.938,2.358,210.0,1.28,78.188,0.476,97.625,0.595,2.1,1.28,1.1728200000000002,0.714,2.440625,1.4874999999999998,9.194945,41.90625,0.2553562271327267,318.515625,1.9408787062269328,0.62859375,0.38303434069909,11.148046875,6.793075471794265,18.95275043749336,10195868,,,0.8673894532096991,Warning
172110,3131.0,9518.321586,EGY,Egypt,Al Fayyum,4.221059261,0.0,0.55,0.63,3131.0,,,,,,,,,,,,,,,,,,,,,,,,,5.313150616433308,84.42118522,0.0,,17.25,0.181,17.25,0.181,7.375,0.077,7.5,0.079,0.1725,0.181,0.110625,0.1154999999999999,0.1875,0.1975,0.964625,36.5625,0.3841275971629093,58.359375,0.6131267416254128,0.5484375,0.576191395744364,2.042578125,2.1459435956889448,5.313150616433308,3437058,,,0.1410246912525231,Information
172111,3132.0,25391.76841,EGY,Egypt,Bani Suwayf,3.367829483,0.004255481,0.55,0.63,3132.0,3132.0,,,,,,,,,,,0.0,4564.252475817046,17.97532334878933,710.8556,2170.4854,1413.0,4.564252475817046,3.5950646697578663,10.0,10.0,10.0,76.31863429114982,76.31863429114982,76.31863429114982,67.35658966,0.08510962,,65.75,0.259,39.125,0.154,4.812,0.019,3.625,0.014,0.39125,0.154,0.07218,0.0284999999999999,0.090625,0.035,0.771555,54.0,0.2126673460720125,245.53125,0.966971839171182,0.81,0.3190010191080187,8.59359375,3.384401437099137,13.106996206207157,28310172,,,0.802135612180838,Warning
